"","sensor","acquisitionDate","path","row","sceneCenterLatitude","sceneCenterLongitude","cloudCover","cloudCoverFull","year","doy","browseURL"
"23","TM",1985-04-16 07:52:43,176,36,"34.613373 33.12504","34.613373 33.12504",0,0,"1985",106,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/04/16/LS05_RFUI_TM__GTC_1P_19850416T075243_19850416T075311_005983_0176_0036_24C1.ZIP"
"24","TM",1985-05-02 07:52:35,176,36,"34.613373 33.135036","34.613373 33.135036",0,4,"1985",122,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/05/02/LS05_RFUI_TM__GTC_1P_19850502T075235_19850502T075304_006216_0176_0036_5158.ZIP"
"25","TM",1985-05-18 07:52:32,176,36,"34.61087 33.125","34.61087 33.125",0,6,"1985",138,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/05/18/LS05_RFUI_TM__GTC_1P_19850518T075232_19850518T075300_006449_0176_0036_CB8B.ZIP"
"26","TM",1985-06-03 07:52:32,176,36,"34.613346 33.097507","34.613346 33.097507",0,0,"1985",154,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/06/03/LS05_RFUI_TM__GTC_1P_19850603T075232_19850603T075300_006682_0176_0036_1919.ZIP"
"27","TM",1985-06-19 07:52:30,176,36,"34.613346 33.077507","34.613346 33.077507",0,6,"1985",170,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/06/19/LS05_RFUI_TM__GTC_1P_19850619T075230_19850619T075258_006915_0176_0036_3409.ZIP"
"28","TM",1985-07-05 07:52:25,176,36,"34.61339 33.072506","34.61339 33.072506",0,1,"1985",186,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/07/05/LS05_RFUI_TM__GTC_1P_19850705T075225_19850705T075253_007148_0176_0036_A73E.ZIP"
"29","TM",1985-08-06 07:52:10,176,36,"34.61087 33.075","34.61087 33.075",0,2,"1985",218,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/08/06/LS05_RFUI_TM__GTC_1P_19850806T075210_19850806T075239_007614_0176_0036_8201.ZIP"
"30","TM",1985-08-22 07:52:00,176,36,"34.613346 33.077507","34.613346 33.077507",0,0,"1985",234,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/08/22/LS05_RFUI_TM__GTC_1P_19850822T075200_19850822T075228_007847_0176_0036_0963.ZIP"
"31","TM",1985-09-23 07:51:36,176,36,"34.613346 33.087505","34.613346 33.087505",0,0,"1985",266,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/09/23/LS05_RFUI_TM__GTC_1P_19850923T075136_19850923T075205_008313_0176_0036_C36E.ZIP"
"32","TM",1985-10-09 07:51:27,176,36,"34.613346 33.077507","34.613346 33.077507",1,11,"1985",282,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/10/09/LS05_RFUI_TM__GTC_1P_19851009T075127_19851009T075155_008546_0176_0036_2D6A.ZIP"
"33","TM",1985-10-25 07:51:15,176,36,"34.61087 33.065","34.61087 33.065",0,7,"1985",298,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/10/25/LS05_RFUI_TM__GTC_1P_19851025T075115_19851025T075144_008779_0176_0036_C401.ZIP"
"34","TM",1985-11-10 07:51:01,176,36,"34.61087 33.065","34.61087 33.065",3,34,"1985",314,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/11/10/LS05_RFUI_TM__GTC_1P_19851110T075101_19851110T075130_009012_0176_0036_4F9F.ZIP"
"35","TM",1985-11-26 07:50:45,176,36,"34.61085 33.06747","34.61085 33.06747",5,57,"1985",330,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/11/26/LS05_RFUI_TM__GTC_1P_19851126T075045_19851126T075113_009245_0176_0036_2FC6.ZIP"
"36","TM",1986-01-13 07:49:50,176,36,"34.61085 33.06747","34.61085 33.06747",3,30,"1986",13,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/01/13/LS05_RFUI_TM__GTC_1P_19860113T074950_19860113T075019_009944_0176_0036_E910.ZIP"
"37","TM",1986-01-29 07:49:30,176,36,"34.610825 33.070004","34.610825 33.070004",2,26,"1986",29,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/01/29/LS05_RFUI_TM__GTC_1P_19860129T074930_19860129T074958_010177_0176_0036_4F61.ZIP"
"38","TM",1986-02-14 07:49:07,176,36,"34.613346 33.077507","34.613346 33.077507",4,42,"1986",45,"http://landsat-ds.eo.esa.int/products/LANDSAT/1986/02/14/LS05_RFUI_TM__GTC_1P_19860214T074907_19860214T074936_010410_0176_0036_CBEA.ZIP"
