Granule UR,Producer Granule ID,Start Time,End Time,Online Access URLs,Browse URLs,Cloud Cover,Day/Night,Size
LM11890351972333FAK06,,1972-11-28T07:53:07Z,1972-11-28T07:53:35Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11890351972333FAK06,http://earthexplorer.usgs.gov/browse/mss/189/35/1972/118903500723339006.jpg,,DAY,
LM11890361972333AAA04,,1972-11-28T07:53:30Z,1972-11-28T07:53:58Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11890361972333AAA04,http://earthexplorer.usgs.gov/browse/mss/189/36/1972/118903600723339004.jpg,,DAY,
LM11890371972333AAA04,,1972-11-28T07:53:54Z,1972-11-28T07:54:23Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11890371972333AAA04,http://earthexplorer.usgs.gov/browse/mss/189/37/1972/118903700723339004.jpg,,DAY,
LM11900351972334AAA02,,1972-11-29T07:58:49Z,1972-11-29T07:59:18Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11900351972334AAA02,http://earthexplorer.usgs.gov/browse/mss/190/35/1972/119003500723349002.jpg,,DAY,
LM11900361972334AAA02,,1972-11-29T07:59:14Z,1972-11-29T07:59:43Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11900361972334AAA02,http://earthexplorer.usgs.gov/browse/mss/190/36/1972/119003600723349002.jpg,,DAY,
LM11900371972334FAK08,,1972-11-29T07:59:41Z,1972-11-29T08:00:09Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11900371972334FAK08,http://earthexplorer.usgs.gov/browse/mss/190/37/1972/119003700723349008.jpg,,DAY,
LM11910351972335AAA04,,1972-11-30T00:00:00Z,1972-11-30T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11910351972335AAA04,http://earthexplorer.usgs.gov/browse/mss/191/35/1972/LM1191035007233590.jpg,,DAY,
LM11910361972335FAK03,,1972-11-30T08:05:00Z,1972-11-30T08:05:28Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11910361972335FAK03,http://earthexplorer.usgs.gov/browse/mss/191/36/1972/119103600723359003.jpg,,DAY,
LM11880351972350AAA05,,1972-12-15T00:00:00Z,1972-12-15T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11880351972350AAA05,http://earthexplorer.usgs.gov/browse/mss/188/35/1972/LM1188035007235090.jpg,,DAY,
LM11880361972350AAA05,,1972-12-15T00:00:00Z,1972-12-15T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11880361972350AAA05,http://earthexplorer.usgs.gov/browse/mss/188/36/1972/LM1188036007235090.jpg,,DAY,
LM11880371972350AAA05,,1972-12-15T00:00:00Z,1972-12-15T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11880371972350AAA05,http://earthexplorer.usgs.gov/browse/mss/188/37/1972/LM1188037007235090.jpg,,DAY,
LM11890351972351AAA05,,1972-12-16T00:00:00Z,1972-12-16T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11890351972351AAA05,http://earthexplorer.usgs.gov/browse/mss/189/35/1972/LM1189035007235190.jpg,,DAY,
LM11890361972351AAA05,,1972-12-16T00:00:00Z,1972-12-16T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11890361972351AAA05,http://earthexplorer.usgs.gov/browse/mss/189/36/1972/LM1189036007235190.jpg,,DAY,
LM11890371972351GDS03,,1972-12-16T07:53:53Z,1972-12-16T07:54:21Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11890371972351GDS03,http://earthexplorer.usgs.gov/browse/mss/189/37/1972/118903700723519003.jpg,,DAY,
LM11900351972352AAA04,,1972-12-17T00:00:00Z,1972-12-17T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11900351972352AAA04,http://earthexplorer.usgs.gov/browse/mss/190/35/1972/LM1190035007235290.jpg,,DAY,
LM11910351972353AAA04,,1972-12-18T08:04:30Z,1972-12-18T08:04:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11910351972353AAA04,http://earthexplorer.usgs.gov/browse/mss/191/35/1972/119103500723539004.jpg,,DAY,
LM11910361972353XXX01,,1972-12-18T08:04:55Z,1972-12-18T08:05:24Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11910361972353XXX01,http://earthexplorer.usgs.gov/browse/mss/191/36/1972/119103600723539001.jpg,,DAY,
LM11910371972353XXX01,,1972-12-18T08:05:20Z,1972-12-18T08:05:49Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11910371972353XXX01,http://earthexplorer.usgs.gov/browse/mss/191/37/1972/119103700723539001.jpg,,DAY,
LM11880361973002AAA04,,1973-01-02T00:00:00Z,1973-01-02T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11880361973002AAA04,http://earthexplorer.usgs.gov/browse/mss/188/36/1973/LM1188036007300290.jpg,,DAY,
LM11880371973002AAA04,,1973-01-02T00:00:00Z,1973-01-02T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11880371973002AAA04,http://earthexplorer.usgs.gov/browse/mss/188/37/1973/LM1188037007300290.jpg,,DAY,
LM11890351973003AAA08,,1973-01-03T07:52:51Z,1973-01-03T07:53:20Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11890351973003AAA08,http://earthexplorer.usgs.gov/browse/mss/189/35/1973/118903500730039008.jpg,,DAY,
LM11890361973003AAA06,,1973-01-03T07:53:16Z,1973-01-03T07:53:45Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11890361973003AAA06,http://earthexplorer.usgs.gov/browse/mss/189/36/1973/118903600730039006.jpg,,DAY,
LM11890371973003AAA06,,1973-01-03T07:53:41Z,1973-01-03T07:54:10Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11890371973003AAA06,http://earthexplorer.usgs.gov/browse/mss/189/37/1973/118903700730039006.jpg,,DAY,
LM11900371973004AAA04,,1973-01-04T00:00:00Z,1973-01-04T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11900371973004AAA04,http://earthexplorer.usgs.gov/browse/mss/190/37/1973/LM1190037007300490.jpg,,DAY,
LM11900351973004AAA04,,1973-01-04T00:00:00Z,1973-01-04T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11900351973004AAA04,http://earthexplorer.usgs.gov/browse/mss/190/35/1973/LM1190035007300490.jpg,,DAY,
LM11900361973004AAA04,,1973-01-04T00:00:00Z,1973-01-04T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11900361973004AAA04,http://earthexplorer.usgs.gov/browse/mss/190/36/1973/LM1190036007300490.jpg,,DAY,
LM11910351973005AAA02,,1973-01-05T08:04:17Z,1973-01-05T08:04:45Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11910351973005AAA02,http://earthexplorer.usgs.gov/browse/mss/191/35/1973/119103500730059002.jpg,,DAY,
LM11910361973005XXX01,,1973-01-05T08:04:42Z,1973-01-05T08:05:10Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11910361973005XXX01,http://earthexplorer.usgs.gov/browse/mss/191/36/1973/119103600730059001.jpg,,DAY,
